title,country
skoda,Czech Republic
vauxhall,United Kingdom
hyundai,South Korea
mini,United Kingdom
ford,United States
volvo,Sweden
peugeot,France
bmw,Germany
citroen,France
mercedes-benz,Germany
mazda,Japan
saab,Sweden
volkswagen,Germany
honda,Japan
mg,United Kingdom
toyota,Japan
seat,Spain
nissan,Japan
alfa,Italy
renault,France
kia,South Korea
proton,Malaysia
fiat,Italy
audi,Germany
mitsubishi,Japan
lexus,Japan
land,United Kingdom
chevrolet,United States
suzuki,Japan
dacia,Romania
daihatsu,Japan
jeep,United States
jaguar,United Kingdom
chrysler,United States
rover,United Kingdom
ds,France
daewoo,South Korea
dodge,United States
porsche,Germany
subaru,Japan
infiniti,Japan
abarth,Italy
smart,Germany
marcos,United Kingdom
maserati,Italy
ssangyong,South Korea
lagonda,United Kingdom
isuzu,Japan
